RPM;POWER(HP);TORQUE(Nm);DEFLECT.(BAR);AN#1(V );AN#2(%);AN#3(AFR)
2255;52;152;-0.63;5.00;7.52;11.63
2321;53;155;-0.63;5.00;7.66;11.63
2377;55;158;-0.63;5.00;7.76;11.63
2468;58;161;-0.63;5.00;8.10;11.63
2522;60;164;-0.63;5.00;8.46;11.63
2602;64;168;-0.63;5.00;8.62;11.63
2726;68;174;-0.63;5.00;8.95;11.63
2854;74;181;-0.63;5.00;9.23;11.63
2932;79;187;-0.63;5.00;9.45;11.63
3016;84;193;-0.63;5.00;9.69;11.63
3106;90;199;-0.63;5.00;9.79;11.63
3239;96;205;-0.63;5.00;10.01;11.62
3366;102;211;-0.63;5.00;10.26;11.62
3473;108;216;-0.62;5.00;10.41;11.63
3615;115;221;-0.62;5.00;10.56;11.62
3764;121;224;-0.62;5.00;10.70;11.62
3862;127;228;-0.62;5.00;10.79;11.62
4018;133;232;-0.62;5.00;10.94;11.62
4166;139;235;-0.62;5.00;11.02;11.62
4275;145;237;-0.62;5.00;11.19;11.62
4388;151;240;-0.62;5.00;11.43;11.62
4492;156;241;-0.62;5.00;11.80;11.63
4646;160;241;-0.62;5.00;12.03;11.63
4847;164;241;-0.62;5.00;12.26;11.63
4977;168;239;-0.61;5.00;12.42;11.63
5079;170;237;-0.61;5.00;12.36;11.62
5189;171;234;-0.61;5.00;12.42;11.62
5310;173;230;-0.61;5.00;12.08;11.61
5430;174;227;-0.61;5.00;11.66;11.61
5570;176;224;-0.61;5.00;11.52;11.61
5635;177;222;-0.60;5.00;11.46;11.61
5714;178;219;-0.60;5.00;11.16;11.61
5819;180;218;-0.60;5.00;11.05;11.62
5911;182;216;-0.60;5.00;10.75;11.62
6019;183;214;-0.60;5.00;10.67;11.62
6127;185;213;-0.60;5.00;10.61;11.62
6194;185;211;-0.59;5.00;10.40;11.62
6319;186;209;-0.59;5.00;10.16;11.62
6393;186;206;-0.59;5.00;10.28;11.62
6511;186;204;-0.59;5.00;10.26;11.63
6584;185;203;-0.59;5.00;10.24;11.63
6642;185;201;-0.59;5.00;10.30;11.63
