RPM;POWER(HP);TORQUE(Nm);DEFLECT.(BAR);AN#1(V );AN#2(%);AN#3(AFR)
1979;43;140;-0.61;5.00;7.51;11.68
2053;44;142;-0.61;5.00;7.73;11.68
2120;46;144;-0.61;5.00;7.84;11.68
2193;48;147;-0.61;5.00;8.08;11.68
2309;51;151;-0.61;5.00;8.37;11.68
2417;54;155;-0.61;5.00;8.67;11.68
2489;58;160;-0.61;5.00;8.85;11.68
2606;62;164;-0.61;5.00;8.89;11.68
2680;66;168;-0.61;5.00;8.99;11.68
2821;70;173;-0.61;5.00;9.06;11.68
2947;75;177;-0.61;5.00;9.23;11.68
3022;80;181;-0.61;5.00;9.19;11.68
3163;85;187;-0.61;5.00;9.28;11.68
3289;91;192;-0.61;5.00;9.44;11.68
3381;97;198;-0.61;5.00;9.70;11.68
3521;104;204;-0.61;5.00;9.95;11.68
3646;111;210;-0.61;5.00;10.38;11.68
3762;118;216;-0.61;5.00;10.71;11.68
3935;126;221;-0.61;5.00;11.28;11.68
4059;133;226;-0.61;5.00;11.71;11.68
4198;139;229;-0.61;5.00;12.03;11.66
4373;145;231;-0.61;5.00;12.47;11.67
4543;150;231;-0.60;5.00;12.65;11.67
4728;155;230;-0.60;5.00;12.83;11.67
4917;158;228;-0.60;5.00;12.79;11.66
5019;162;225;-0.60;5.00;12.53;11.67
5240;164;221;-0.60;5.00;12.41;11.67
5463;166;217;-0.59;5.00;12.18;11.68
5655;167;212;-0.59;5.00;11.92;11.68
5792;169;208;-0.59;5.00;11.80;11.68
5937;169;204;-0.59;5.00;11.42;11.68
6030;169;199;-0.58;5.00;11.29;11.68
6187;169;195;-0.58;5.00;11.31;11.68
6308;168;191;-0.58;5.00;11.06;11.68
6398;168;189;-0.58;5.00;11.07;11.67
6580;167;187;-0.58;5.00;10.93;11.67
6734;166;184;-0.58;5.00;10.73;11.66
